Well,Period,beta_3_drainage,P_Value,Conf_Low,Conf_High,N,Mean_Pre_Scraping,Mean_Post_Scraping_PreFell,Mean_Post_Felling,Mean_PF_Pre_Scrape2,Mean_PF_Post_Scrape2,Step_Change_From_Clean_Baseline,Step_PF_Pre_Scrape2,Step_PF_Post_Scrape2,Combined_Hydrological_Cost
FE2,Before,0.03797657321470151,0.3557731300695994,-0.04505118709703635,0.12100433352643938,28.0,,,,,,,,,
FE2,After,0.046857838802034917,0.12666712572433328,-0.013615325611524176,0.10733100321559401,69.0,,,,,,,,,
FE2,After_Scrape2,0.09139779002100366,0.1219260889127957,-0.0261022950060585,0.20889787504806584,28.0,,,,,,,,,
FE4,After,0.03576910092643663,0.3259733048303224,-0.036383122243348935,0.10792132409622218,69.0,,,,,,,,,
FE4,After_Scrape2,0.06392199264337428,0.14036101648411073,-0.022471455161365186,0.15031544044811374,28.0,,,,,,,,,
WMC3,Before,0.06995987293511291,0.012701134193934257,0.01526948698922493,0.1246502588810009,101.0,,,,,,,,,
WMC3,After,0.0724791314050017,0.06719154280255567,-0.005275323677117791,0.1502335864871212,69.0,,,,,,,,,
WMC3,After_Scrape2,0.13426711753733733,0.03147398129008882,0.012886796830319791,0.2556474382443549,28.0,,,,,,,,,
FE1,Before,0.019742855301509987,0.6337336111131439,-0.06442602984116294,0.10391174044418292,28.0,,,,,,,,,
FE1,After,0.015374181638294283,0.5805545237474553,-0.03989011953884755,0.07063848281543611,69.0,,,,,,,,,
FE1,After_Scrape2,0.053622282044243505,0.30542513999049214,-0.051805264000352985,0.15904982808884,28.0,,,,,,,,,
FE3,Before,0.3870656445736118,0.2680183875803832,-0.388863011605429,1.1629943007526526,8.0,,,,,,,,,
FE3,After,0.061997238189914795,0.08025228154522376,-0.007675120778833332,0.13166959715866292,69.0,,,,,,,,,
FE3,After_Scrape2,0.12217801039372649,0.011034217878098135,0.030417761712139765,0.21393825907531322,28.0,,,,,,,,,
CEH31,Before,0.09518520728629595,0.0006537545949991927,0.04168082007495157,0.14868959449764033,89.0,,,,,,,,,
CEH31,After,0.06758774716511746,0.11285418486040513,-0.016384066464228852,0.15155956079446378,69.0,,,,,,,,,
CEH31,After_Scrape2,0.1610717283785881,0.052286301683470135,-0.0017150096657768121,0.323858466422953,28.0,,,,,,,,,
LIS1,After,0.03244351215484964,0.36795156973087334,-0.038998104285339855,0.10388512859503914,69.0,,,,,,,,,
LIS1,After_Scrape2,0.06734706603861973,0.2118584813353648,-0.040806833964120576,0.17550096604136003,28.0,,,,,,,,,
CEH20,Before,0.0371692652585764,0.05257113151158555,-0.00042048469260685256,0.07475901520975967,108.0,,,,,,,,,
CEH20,After,0.011467402360821305,0.6937658245901938,-0.046413306972184605,0.06934811169382721,69.0,,,,,,,,,
CEH20,After_Scrape2,0.03863843942652756,0.4329983987621228,-0.061085471144595005,0.13836234999765012,28.0,,,,,,,,,
